epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,44342.2,1.30037,1.05213,0.00475,0.77495,0.71969,0.80347,0.50802,1.23559,0.91293,0.00532,0.000233234,0.000233234,0.000233234
139,44435.5,1.30243,1.04266,0.00471,0.78083,0.71351,0.80742,0.50963,1.2325,0.90588,0.0052,0.000226769,0.000226769,0.000226769
140,44530.7,1.3029,1.02781,0.00464,0.77013,0.7284,0.81133,0.51521,1.22142,0.90262,0.00516,0.000220372,0.000220372,0.000220372
141,44621.9,1.29556,1.034,0.00475,0.78016,0.72255,0.8102,0.51704,1.21853,0.89599,0.00523,0.000214046,0.000214046,0.000214046
142,44712.8,1.29239,1.0244,0.00446,0.7735,0.71652,0.80505,0.5135,1.22717,0.90931,0.00527,0.000207792,0.000207792,0.000207792
143,44806.5,1.28455,1.03866,0.00459,0.76899,0.73174,0.81211,0.5166,1.22658,0.89402,0.00527,0.000201611,0.000201611,0.000201611
144,44900.1,1.29139,1.0537,0.00466,0.77805,0.71892,0.81456,0.51987,1.2256,0.89381,0.00528,0.000195505,0.000195505,0.000195505
145,44993.7,1.29465,1.03297,0.00453,0.77432,0.73694,0.81716,0.51811,1.22538,0.88683,0.00531,0.000189475,0.000189475,0.000189475
146,45088.9,1.28776,1.03109,0.00459,0.79096,0.72553,0.81986,0.52181,1.22639,0.88327,0.00524,0.000183523,0.000183523,0.000183523
147,45182.7,1.28236,1.02793,0.00459,0.77025,0.74535,0.82252,0.52758,1.22133,0.86587,0.00516,0.000177651,0.000177651,0.000177651
148,45279.1,1.30028,1.03394,0.00462,0.8045,0.72733,0.82498,0.52471,1.21018,0.88358,0.00515,0.000171859,0.000171859,0.000171859
149,45379.3,1.2974,1.05184,0.00466,0.7853,0.74174,0.82178,0.52623,1.21016,0.87675,0.00517,0.000166149,0.000166149,0.000166149
150,45472.5,1.27792,1.03561,0.00457,0.79084,0.75393,0.82777,0.52946,1.2113,0.86421,0.00519,0.000160523,0.000160523,0.000160523
151,45566.2,1.28898,1.03643,0.00465,0.78199,0.74775,0.82619,0.534,1.20943,0.85951,0.0052,0.000154982,0.000154982,0.000154982
152,45667.6,1.28721,1.01336,0.00449,0.79295,0.73754,0.82516,0.53196,1.20468,0.86649,0.00511,0.000149527,0.000149527,0.000149527
153,45761.8,1.28269,1.01605,0.00448,0.79147,0.74655,0.82918,0.53361,1.20702,0.86085,0.00509,0.000144161,0.000144161,0.000144161
154,45854.9,1.26895,1.00142,0.00453,0.79812,0.74054,0.83034,0.53403,1.21266,0.85167,0.00518,0.000138883,0.000138883,0.000138883
155,45949.9,1.27105,0.98179,0.00441,0.79783,0.74054,0.83258,0.53412,1.20914,0.85437,0.00519,0.000133695,0.000133695,0.000133695
156,46053.6,1.27146,1.0055,0.00447,0.81117,0.74054,0.83505,0.53782,1.20899,0.85409,0.00517,0.000128599,0.000128599,0.000128599
157,46148.1,1.27322,0.99917,0.00449,0.80239,0.74139,0.83458,0.5376,1.20762,0.85,0.00515,0.000123596,0.000123596,0.000123596
158,46242.6,1.26767,1.00304,0.00454,0.81027,0.74125,0.83629,0.53898,1.20778,0.84676,0.00516,0.000118687,0.000118687,0.000118687
159,46344.1,1.27002,1.00919,0.00447,0.81464,0.73909,0.8362,0.53967,1.20791,0.84078,0.0052,0.000113873,0.000113873,0.000113873
160,46439.8,1.25716,0.98811,0.00437,0.82018,0.73963,0.83893,0.54138,1.20339,0.83825,0.00517,0.000109156,0.000109156,0.000109156
161,46533,1.25533,0.99488,0.00442,0.81277,0.73002,0.83511,0.53912,1.20231,0.84615,0.00515,0.000104537,0.000104537,0.000104537
162,46626,1.25881,0.98085,0.00441,0.81296,0.73754,0.83839,0.54317,1.20147,0.83915,0.00508,0.000100016,0.000100016,0.000100016
163,46726.8,1.2571,0.9927,0.00446,0.80987,0.73677,0.84047,0.54524,1.20347,0.83033,0.0051,9.55951e-05,9.55951e-05,9.55951e-05
164,46821.1,1.25183,0.97683,0.00434,0.80102,0.75556,0.84363,0.54651,1.19517,0.83917,0.00508,9.12754e-05,9.12754e-05,9.12754e-05
165,46920.7,1.26321,0.99403,0.00451,0.81189,0.74656,0.8445,0.54568,1.19829,0.83944,0.0051,8.70577e-05,8.70577e-05,8.70577e-05
166,47020.2,1.24993,0.97592,0.00435,0.82619,0.73634,0.8432,0.54579,1.1991,0.82673,0.00515,8.29431e-05,8.29431e-05,8.29431e-05
167,47114.5,1.26161,0.97602,0.00438,0.80983,0.74895,0.84257,0.54548,1.20058,0.82749,0.00514,7.89327e-05,7.89327e-05,7.89327e-05
168,47209.1,1.25602,0.96586,0.0044,0.8102,0.75075,0.845,0.54774,1.19272,0.82166,0.00511,7.50274e-05,7.50274e-05,7.50274e-05
169,47311.1,1.24918,0.95703,0.00444,0.81824,0.75676,0.84496,0.54868,1.19243,0.82351,0.00511,7.12282e-05,7.12282e-05,7.12282e-05
170,47409,1.2539,0.96753,0.00444,0.82688,0.74013,0.84501,0.54967,1.19375,0.81989,0.00512,6.7536e-05,6.7536e-05,6.7536e-05
171,47510,1.26298,0.96462,0.00448,0.83001,0.7478,0.84744,0.5512,1.19395,0.81232,0.00514,6.39518e-05,6.39518e-05,6.39518e-05
172,47603.9,1.23917,0.95773,0.00424,0.82444,0.75616,0.8481,0.55242,1.19335,0.81488,0.0051,6.04763e-05,6.04763e-05,6.04763e-05
173,47698.2,1.24108,0.95546,0.00433,0.82372,0.75213,0.84829,0.5536,1.19643,0.81308,0.00509,5.71106e-05,5.71106e-05,5.71106e-05
174,47793.1,1.25546,0.97388,0.00436,0.81677,0.75075,0.84716,0.55199,1.19496,0.81449,0.00507,5.38554e-05,5.38554e-05,5.38554e-05
175,47885.8,1.25913,0.96187,0.00438,0.82209,0.75435,0.84853,0.5533,1.196,0.80806,0.00507,5.07115e-05,5.07115e-05,5.07115e-05
176,47987.4,1.24894,0.96002,0.00438,0.82221,0.75556,0.84803,0.55375,1.19253,0.80779,0.00506,4.76796e-05,4.76796e-05,4.76796e-05
177,48087.5,1.25544,0.9705,0.00431,0.82911,0.75471,0.84919,0.55561,1.18672,0.80728,0.00505,4.47606e-05,4.47606e-05,4.47606e-05
178,48183,1.25253,0.94166,0.00427,0.82147,0.75495,0.84946,0.55797,1.18543,0.80752,0.00504,4.19552e-05,4.19552e-05,4.19552e-05
